year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
1997,12,-0.00419908,-0.08456,-0,-0.00419908,0.00290156,-0.00710064
1998,1,0,0,0,0,0,0
1998,2,0.0229442,-0.19164,0.0229442,0,0.0228062,0.000138
1998,3,-0.00038669,-0.13567,-0,-0.00038669,0.00783054,-0.00821723
1998,4,0,0,0,0,0,0
1998,5,-0.02062434,-0.12953,-0,-0.02062434,-0.00265142,-0.01797292
1998,6,0,0,0,0,0,0
1998,7,-0.01747143,0.02716,-0.01747143,-0,-0.01034203,-0.0071294
1998,8,0.00624183,0.04839,0,0.00624183,0.000259,0.00598283
1998,9,0.0363035,-0.6975,0.0363035,0,0.05940377,-0.02310027
1998,10,-0.20150039,2.09497,-0.20150039,-0,-0.22465232,0.02315193
1998,11,-0.03373968,0.63962,-0.03373968,-0,-0.05469868,0.020959
1998,12,-0.008136,-0.1237,-0,-0.008136,0.00324795,-0.01138395
1999,1,0,0,0,0,0,0
1999,2,0.0100694,0.17015,0,0.0100694,-0.00502843,0.01509783
1999,3,-0.02573371,-0.16838,-0,-0.02573371,-0.00290841,-0.0228253
1999,4,0,0,0,0,0,0
1999,5,0.10265329,-1.38561,0.10265329,0,0.13327533,-0.03062204
1999,6,-0.10518432,1.60132,-0.10518432,-0,-0.14729851,0.04211419
1999,7,0,0,0,0,0,0
1999,8,0.00732746,0.59237,0,0.00732746,-0.03137062,0.03869808
1999,9,0,0,0,0,0,0
1999,10,0.0641457,-0.81193,0.0641457,0,0.08009256,-0.01594686
1999,11,0.07624969,-0.32364,0.07624969,0,0.05726578,0.01898391
1999,12,0.03242067,0.48527,0,0.03242067,-0.01248983,0.0449105
2000,1,0,0,0,0,0,0
2000,2,-0.00582671,-0.3357,-0,-0.00582671,0.01694084,-0.02276755
2000,3,-0.00774995,-0.03942,-0,-0.00774995,-0.00154357,-0.00620638
2000,4,0,0,0,0,0,0
2000,5,0.05960927,-0.64349,0.05960927,0,0.06786235,-0.00825308
2000,6,-0.03534337,0.26977,-0.03534337,-0,-0.0336266,-0.00171677
2000,7,0,0,0,0,0,0
2000,8,0.04780744,-0.15955,0.04780744,0,0.03333993,0.01446751
2000,9,0,0,0,0,0,0
2000,10,0.03884197,-0.22039,0.03884197,0,0.03245544,0.00638653
2000,11,0.00621384,-0.6872,0.00621384,0,0.04374977,-0.03753593
2000,12,0.02151906,-0.56081,0.02151906,0,0.04392733,-0.02240827
2001,1,-0.19405822,3.99301,-0.18252864,-0.01152958,-0.3331864,0.13912818
2001,2,0,0,0,0,0,0
2001,3,-0.06791155,-0.60045,-0,-0.06791155,0.00155644,-0.06946799
