start,pc1,SP500,MP_pm,CBI_pm,MP_median,CBI_median
1995-12-19 14:15,-0.0529832,0.25709,-0.0529832,-0,-0.04169659,-0.01128661
1996-01-31 14:15,-0.04374155,0.05541,-0.04374155,-0,-0.02514787,-0.01859368
1996-03-26 11:39,0.01732177,0.15989,0,0.01732177,-0.00079544,0.01811721
1996-05-21 14:15,0.0173348,-0.19289,0.0173348,0,0.02007543,-0.00274063
1996-07-03 14:15,-0.02948097,0.1534,-0.02948097,-0,-0.02381297,-0.005668
1996-08-20 14:15,-0.00303561,-0.1306,-0,-0.00303561,0.00620623,-0.00924184
1996-09-24 14:15,-0.11254959,0.00873,-0.11254959,-0,-0.05679111,-0.05575848
1996-11-13 14:15,-0.01459773,0.25457,-0.01459773,-0,-0.02235482,0.00775709
1996-12-17 14:15,-0.0052545,-0.06073,-0,-0.0052545,0.00096448,-0.00621898
1997-02-05 14:15,0.00139831,-0.30367,0.00139831,0,0.01865901,-0.0172607
1997-03-25 14:15,0.06268788,-0.45395,0.06268788,0,0.05819176,0.00449612
1997-05-20 14:15,-0.07684075,0.48372,-0.07684075,-0,-0.06702887,-0.00981188
1997-07-02 14:15,-0.01125695,0.1788,-0.01125695,-0,-0.01620319,0.00494624
1997-08-19 14:15,0.00584415,-0.37221,0.00584415,0,0.02493557,-0.01909142
1997-09-30 14:13,-0.01041732,-0.19196,-0,-0.01041732,0.00614437,-0.01656169
1997-11-12 14:12,-0.03499868,-0.3511,-0,-0.03499868,0.00326565,-0.03826433
1997-12-16 14:15,-0.00419908,-0.08456,-0,-0.00419908,0.00290156,-0.00710064
1998-02-04 14:12,0.0229442,-0.19164,0.0229442,0,0.0228062,0.000138
1998-03-31 14:12,-0.00038669,-0.13567,-0,-0.00038669,0.00783054,-0.00821723
1998-05-19 14:15,-0.02062434,-0.12953,-0,-0.02062434,-0.00265142,-0.01797292
1998-07-01 14:15,-0.01747143,0.02716,-0.01747143,-0,-0.01034203,-0.0071294
1998-08-18 14:12,0.00624183,0.04839,0,0.00624183,0.000259,0.00598283
1998-09-29 14:15,0.0363035,-0.6975,0.0363035,0,0.05940377,-0.02310027
1998-10-15 15:15,-0.20150039,2.09497,-0.20150039,-0,-0.22465232,0.02315193
1998-11-17 14:15,-0.03373968,0.63962,-0.03373968,-0,-0.05469868,0.020959
1998-12-22 14:15,-0.008136,-0.1237,-0,-0.008136,0.00324795,-0.01138395
1999-02-03 14:15,0.0100694,0.17015,0,0.0100694,-0.00502843,0.01509783
1999-03-30 14:15,-0.02573371,-0.16838,-0,-0.02573371,-0.00290841,-0.0228253
1999-05-18 14:15,0.10265329,-1.38561,0.10265329,0,0.13327533,-0.03062204
1999-06-30 14:15,-0.10518432,1.60132,-0.10518432,-0,-0.14729851,0.04211419
1999-08-24 14:15,0.00732746,0.59237,0,0.00732746,-0.03137062,0.03869808
1999-10-05 14:15,0.0641457,-0.81193,0.0641457,0,0.08009256,-0.01594686
1999-11-16 14:15,0.07624969,-0.32364,0.07624969,0,0.05726578,0.01898391
1999-12-21 14:15,0.03242067,0.48527,0,0.03242067,-0.01248983,0.0449105
2000-02-02 14:15,-0.00582671,-0.3357,-0,-0.00582671,0.01694084,-0.02276755
2000-03-21 14:15,-0.00774995,-0.03942,-0,-0.00774995,-0.00154357,-0.00620638
2000-05-16 14:15,0.05960927,-0.64349,0.05960927,0,0.06786235,-0.00825308
2000-06-28 14:15,-0.03534337,0.26977,-0.03534337,-0,-0.0336266,-0.00171677
2000-08-22 14:15,0.04780744,-0.15955,0.04780744,0,0.03333993,0.01446751
2000-10-03 14:15,0.03884197,-0.22039,0.03884197,0,0.03245544,0.00638653
2000-11-15 14:15,0.00621384,-0.6872,0.00621384,0,0.04374977,-0.03753593
2000-12-19 14:15,0.02151906,-0.56081,0.02151906,0,0.04392733,-0.02240827
2001-01-03 13:15,-0.18252864,4.51038,-0.18252864,-0,-0.35802026,0.17549162
2001-01-31 14:15,-0.01152958,-0.51737,-0,-0.01152958,0.02483386,-0.03636344
